OGNTsort	Español
000637	y
000638	olíbano
000639	y
000640	mirra
000641	Y
000642	(ellos) habiendo recibido advertencia divina
000643	según
000644	sueño
000645	no
000646	volver otra vez
000647	hacia
000648	Herodes
000649	a través de
000650	otro
000651	camino
000652	(se) retiraron
000653	hacia dentro
000654	el
000655	país
000656	de ellos
000657	Habiendo retirado
000658	pero
000659	ellos
000660	mira
000661	mensajero
000662	de Señor
000663	se está apareciendo
000664	según
000665	sueño
000666	a el
000667	José
000668	estando diciendo
000669	Habiendo sido levantado
000670	toma contigo
000671	a el
000672	niñito
000673	y
000674	a la
000675	madre
000676	de él
000677	y
000678	estés huyendo
000679	hacia dentro
000680	a Egipto
000681	y
000682	estés siendo
000683	allí
000684	hasta
000685	probable
000686	diga
000687	a ti
000688	está por
000689	porque
000690	Herodes
000691	estar buscando
000692	a el
000693	niñito
000694	(para) el
000695	destruir
000696	a él
000697	El
000698	pero
000699	habiendo sido levantado
000700	tomó consigo
000701	a el
000702	niñito
000703	y
000704	a la
000705	madre
000706	de él
000707	de noche
000708	y
000709	(se) retiró
000710	hacia dentro
000711	a Egipto
000712	Y
000713	estaba siendo
000714	allí
000715	hasta
000716	el
000717	final
000718	de Herodes
000719	para que
000720	sea llenado a plenitud
000721	lo
000722	habiendo sido hablado
000723	por
000724	Señor
000725	a través de
000726	el
000727	vocero
000728	estando diciendo
000729	Hacia fuera de
000730	Egipto
000731	llamé
000732	a el
000733	hijo
000734	mío
000735	Entonces
000736	Herodes
000737	habiendo visto
000738	que
000739	fue burlado
000740	por
000741	los
000742	magos
000743	fue enfurecido
000744	sumamente
000745	y
000746	habiendo enviado (con emisarios)
000747	tomó hacia arriba
000748	a todos
000749	los
000750	muchachitos
000751	a los
000752	en
000753	Belén
000754	y
000755	en
000756	todos
000757	los
000758	territorios
000759	de ella
000760	desde
000761	dos años
000762	y
000763	hacia abajo
000764	según
000765	el
000766	tiempo
000767	cual
000768	averiguó cuidadosamente
000769	al lado de
000770	los
000771	magos
000772	Entonces
000773	fue llenado a plenitud
000774	lo
000775	habiendo sido hablado
000776	a través de
000777	Jeremías
000778	el
000779	vocero
000780	estando diciendo
000781	Voz
000782	en
000783	Ramá
000784	fue oída
000785	llanto
000786	y
000787	gemido de lloro
000788	mucho
000789	Raquel
000790	estando llorando
000791	a los
000792	hijos
000793	de ella
000794	y
000795	no
000796	estaba queriendo
000797	ser consolada
000798	porque
000799	no
000800	están siendo
000801	Habiendo finalizado
000802	pero
000803	el
000804	Herodes
000805	mira
000806	mensajero
000807	de Señor
000808	se está apareciendo
000809	según
000810	sueño
000811	a el
000812	José
000813	en
000814	Egipto
000815	estando diciendo
000816	Habiendo sido levantado
000817	toma contigo
000818	a el
000819	niñito
000820	y
000821	a la
000822	madre
000823	de él
000824	y
000825	estés yendo en camino
000826	hacia dentro
000827	tierra
000828	de Israel
000829	han muerto
000830	porque
000831	los
000832	estando buscando
000833	el
000834	alma
000835	de el
000836	niñito
000837	El
000838	pero
000839	habiendo sido levantado
000840	tomó consigo
000841	a el
000842	niñito
000843	y
000844	a la
000845	madre
000846	de él
000847	y
000848	vino hacia dentro
000849	a
000850	tierra
000851	de Israel
000852	Habiendo oído
000853	pero
000854	que
000855	Arquelao
000856	está reinando
000857	la
000858	Judea
000859	en lugar de
000860	el
000861	padre
000862	de él
000863	Herodes
000864	temió
000865	allí
000866	venir desde
000867	(él) habiendo recibido advertencia divina
000868	pero
000869	según
000870	sueño
000871	(se) retiró
000872	hacia dentro
000873	a las
000874	partes
000875	de la
000876	Galilea
000877	Y
000878	habiendo venido
000879	habitó
000880	hacia dentro
000881	ciudad
000882	estando siendo dicha
000883	Nazaret
000884	para que
000885	sea llenado a plenitud
000886	lo
000887	habiendo sido hablado
000888	a través de
000889	los
000890	voceros
000891	que
000892	Nazareno
000893	será llamado
000894	En
000895	pero
000896	los
000897	días
000898	aquellos
000899	está llegando a ser al lado de
000900	Juan
000901	el
000902	Sumergidor
000903	estando predicando
000904	en
000905	el
000906	desierto
000907	de la
000908	Judea
000909	Y
000910	estando diciendo
000911	Estén cambiando de mente
000912	(se) ha acercado
000913	porque
000914	el
000915	reino
000916	de los
000917	cielos
000918	Este
000919	porque
000920	está siendo
000921	el (que)
000922	habiendo sido hablado
000923	a través de
000924	Isaías
000925	el
000926	vocero
000927	estando diciendo
000928	Voz
000929	de estando clamando
000930	en
000931	el
000932	desierto
000933	Preparen
000934	el
000935	camino
000936	de Señor
000937	rectas
000938	estén haciendo
000939	las
000940	veredas
000941	de él
000942	Mismo
000943	pero
000944	el
000945	Juan
000946	estaba teniendo
000947	la
000948	prenda de vestir
000949	de él
000950	de
000951	pelos
000952	de camello
000953	y
000954	cinturón
000955	de cuero
000956	alrededor de
000957	los
000958	lomos
000959	de él
000960	la
000961	pero
000962	nutrición
000963	estaba siendo
000964	de él
000965	langostas
000966	y
000967	miel
000968	silvestre
000969	Entonces
000970	estaba yendo en camino hacia fuera
000971	hacia
000972	a él
000973	Jerusalén
000974	y
000975	toda
000976	la
000977	Judea
000978	y
000979	toda
000980	la
000981	región de alrededor
000982	de el
000983	Jordán
000984	Y
000985	estaban siendo sumergidos
000986	en
000987	el
000988	Jordán
000989	río
000990	por
000991	él
000992	estando confesando abiertamente
000993	los
000994	pecados
000995	de ellos
000996	Habiendo visto
000997	pero
000998	a muchos
000999	de los
001000	fariseos
001001	y
001002	saduceos
001003	estando viniendo
001004	sobre
001005	el
001006	sumergimiento
001007	de él
001008	dijo
001009	a ellos
001010	Generados
001011	de víboras
001012	¿quién
001013	mostró
001014	a ustedes
001015	(a) huir
001016	desde
001017	la
001018	estando por (venir)
001019	ira?
001020	Hagan
001021	por lo tanto
001022	fruto
001023	digno
001024	de el
001025	cambio de mente
001026	Y
001027	no
001028	piensen
001029	estar diciendo
001030	en
001031	ustedes mismos
001032	Padre
001033	estamos teniendo
001034	a el
001035	Abrahán
001036	Estoy diciendo
001037	porque
001038	a ustedes
001039	que
001040	está siendo capaz
001041	el
001042	Dios
001043	procedente de
001044	las
001045	piedras
001046	estas
001047	levantar
001048	hijos
001049	a el
001050	Abrahán
001051	Ya
001052	pero
001053	el
001054	hacha
001055	hacia
001056	la
001057	raíz
001058	de los
001059	árboles
001060	está yaciendo
001061	todo
001062	por lo tanto
001063	árbol
001064	no
001065	estando haciendo
001066	fruto
001067	excelente
001068	está siendo cortado de un golpe
001069	y
001070	hacia dentro
001071	fuego
001072	está siendo arrojado
001073	Yo
001074	de hecho
001075	a ustedes
001076	estoy sumergiendo
001077	en
001078	agua
001079	hacia dentro
001080	cambio de mente
001081	el
001082	pero
001083	detrás de
001084	mí
001085	estando viniendo
001086	más fuerte que
001087	yo
001088	está siendo
001089	de quien
001090	no
001091	estoy siendo
001092	suficiente
001093	las
001094	sandalias
001095	llevar cargando
001096	él
001097	a ustedes
001098	sumergirá
001099	en
001100	espíritu
001101	santo
001102	y
001103	fuego
001104	De quien
001105	el
001106	aventador
001107	en
001108	la
001109	mano
001110	de él
001111	y
001112	limpiará completamente
001113	el
001114	suelo de trillar
001115	de él
001116	y
001117	reunirá
001118	el
001119	trigo
001120	de él
001121	hacia dentro
001122	el
001123	granero
001124	la
001125	pero
001126	paja
001127	quemará completamente
001128	a fuego
001129	inextinguible
001130	Entonces
001131	está llegando a ser al lado de
001132	el
001133	Jesús
001134	desde
001135	la
001136	Galilea
001137	sobre
001138	el
001139	Jordán
001140	hacia
001141	el
001142	Juan
001143	(para) el
001144	ser sumergido
001145	por
001146	él
001147	El
001148	pero
001149	Juan
001150	estaba impidiendo
001151	a él
001152	estando diciendo
001153	Yo
001154	necesidad
001155	estoy teniendo
001156	por
001157	ti
001158	ser sumergido
001159	¿y
001160	tú
001161	estás viniendo
001162	hacia
001163	mí?
001164	Habiendo respondido
001165	pero
