OGNTsort	extendedStrNo	RMAC	SpanishDescription
000001	G976	N-NSF	SustaNtivo, Nominativo, Singular, Femenino
000002	G1078	N-GSF	SustaNtivo, Genitivo, Singular, Femenino
000003	G2424	N-GSM-P	SustaNtivo, Genitivo, Singular, Masculino, Persona
000004	G5547	N-GSM-T	SustaNtivo, Genitivo, Singular, Masculino, Título
000005	G5207	N-GSM	SustaNtivo, Genitivo, Singular, Masculino
000006	G1138	N-GSM-P	SustaNtivo, Genitivo, Singular, Masculino, Persona
000007	G5207	N-GSM	SustaNtivo, Genitivo, Singular, Masculino
000008	G11	N-GSM-P	SustaNtivo, Genitivo, Singular, Masculino, Persona
000009	G11	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
000010	G1080	V-AAI-3S	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Singular
000011	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
000012	G2464	N-ASM-P	SustaNtivo, Acusativo, Singular, Masculino, Persona
000013	G2464	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
000014	G1161	CONJ	CONJunción o partícula cunjuntiva
000015	G1080	V-AAI-3S	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Singular
000016	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
000017	G2384	N-ASM-P	SustaNtivo, Acusativo, Singular, Masculino, Persona
000018	G2384	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
000019	G1161	CONJ	CONJunción o partícula cunjuntiva
000020	G1080	V-AAI-3S	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Singular
000021	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
000022	G2455	N-ASM-P	SustaNtivo, Acusativo, Singular, Masculino, Persona
000023	G2532	CONJ	CONJunción o partícula cunjuntiva
000024	G3588	T-APM	(T) artículo determinado, Acusativo, Plural, Masculino
000025	G80	N-APM	SustaNtivo, Acusativo, Plural, Masculino
000026	G846	P-GSM	pronombre Personal, Genitivo, Singular, Masculino
000027	G2455	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
000028	G1161	CONJ	CONJunción o partícula cunjuntiva
000029	G1080	V-AAI-3S	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Singular
000030	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
000031	G5329	N-ASM-P	SustaNtivo, Acusativo, Singular, Masculino, Persona
000032	G2532	CONJ	CONJunción o partícula cunjuntiva
000033	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
000034	G2196	N-ASM-P	SustaNtivo, Acusativo, Singular, Masculino, Persona
000035	G1537	PREP	PREPosición
000036	G3588	T-GSF	(T) artículo determinado, Genitivo, Singular, Femenino
000037	G2283	N-GSF-P	SustaNtivo, Genitivo, Singular, Femenino, Persona
000038	G5329	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
000039	G1161	CONJ	CONJunción o partícula cunjuntiva
000040	G1080	V-AAI-3S	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Singular
000041	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
000042	G2074	N-ASM-P	SustaNtivo, Acusativo, Singular, Masculino, Persona
000043	G2074	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
000044	G1161	CONJ	CONJunción o partícula cunjuntiva
000045	G1080	V-AAI-3S	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Singular
000046	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
000047	G689	N-ASM-P	SustaNtivo, Acusativo, Singular, Masculino, Persona
000048	G689	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
000049	G1161	CONJ	CONJunción o partícula cunjuntiva
000050	G1080	V-AAI-3S	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Singular
000051	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
000052	G284	N-ASM-P	SustaNtivo, Acusativo, Singular, Masculino, Persona
000053	G284	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
000054	G1161	CONJ	CONJunción o partícula cunjuntiva
000055	G1080	V-AAI-3S	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Singular
000056	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
000057	G3476	N-ASM-P	SustaNtivo, Acusativo, Singular, Masculino, Persona
000058	G3476	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
000059	G1161	CONJ	CONJunción o partícula cunjuntiva
000060	G1080	V-AAI-3S	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Singular
000061	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
000062	G4533	N-ASM-P	SustaNtivo, Acusativo, Singular, Masculino, Persona
000063	G4533	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
000064	G1161	CONJ	CONJunción o partícula cunjuntiva
000065	G1080	V-AAI-3S	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Singular
000066	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
000067	G1003	N-ASM-P	SustaNtivo, Acusativo, Singular, Masculino, Persona
000068	G1537	PREP	PREPosición
000069	G3588	T-GSF	(T) artículo determinado, Genitivo, Singular, Femenino
000070	G4477	N-GSF-P	SustaNtivo, Genitivo, Singular, Femenino, Persona
000071	G1003	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
000072	G1161	CONJ	CONJunción o partícula cunjuntiva
000073	G1080	V-AAI-3S	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Singular
000074	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
000075	G5601	N-ASM-P	SustaNtivo, Acusativo, Singular, Masculino, Persona
000076	G1537	PREP	PREPosición
000077	G3588	T-GSF	(T) artículo determinado, Genitivo, Singular, Femenino
000078	G4503	N-GSF-P	SustaNtivo, Genitivo, Singular, Femenino, Persona
000079	G5601	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
000080	G1161	CONJ	CONJunción o partícula cunjuntiva
000081	G1080	V-AAI-3S	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Singular
000082	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
000083	G2421	N-ASM-P	SustaNtivo, Acusativo, Singular, Masculino, Persona
000084	G2421	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
000085	G1161	CONJ	CONJunción o partícula cunjuntiva
000086	G1080	V-AAI-3S	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Singular
000087	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
000088	G1138	N-ASM-P	SustaNtivo, Acusativo, Singular, Masculino, Persona
000089	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
000090	G935	N-ASM	SustaNtivo, Acusativo, Singular, Masculino
000091	G1138	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
000092	G1161	CONJ	CONJunción o partícula cunjuntiva
000093	G1080	V-AAI-3S	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Singular
000094	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
000095	G4672	N-ASM-P	SustaNtivo, Acusativo, Singular, Masculino, Persona
000096	G1537	PREP	PREPosición
000097	G3588	T-GSF	(T) artículo determinado, Genitivo, Singular, Femenino
000098	G3588	T-GSM	(T) artículo determinado, Genitivo, Singular, Masculino
000099	G3774	N-GSM-P	SustaNtivo, Genitivo, Singular, Masculino, Persona
000100	G4672	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
000101	G1161	CONJ	CONJunción o partícula cunjuntiva
000102	G1080	V-AAI-3S	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Singular
000103	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
000104	G4497	N-ASM-P	SustaNtivo, Acusativo, Singular, Masculino, Persona
000105	G4497	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
000106	G1161	CONJ	CONJunción o partícula cunjuntiva
000107	G1080	V-AAI-3S	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Singular
000108	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
000109	G7	N-ASM-P	SustaNtivo, Acusativo, Singular, Masculino, Persona
000110	G7	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
000111	G1161	CONJ	CONJunción o partícula cunjuntiva
000112	G1080	V-AAI-3S	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Singular
000113	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
000114	G760	N-ASM-P	SustaNtivo, Acusativo, Singular, Masculino, Persona
000115	G760	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
000116	G1161	CONJ	CONJunción o partícula cunjuntiva
000117	G1080	V-AAI-3S	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Singular
000118	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
000119	G2498	N-ASM-P	SustaNtivo, Acusativo, Singular, Masculino, Persona
000120	G2498	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
000121	G1161	CONJ	CONJunción o partícula cunjuntiva
000122	G1080	V-AAI-3S	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Singular
000123	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
000124	G2496	N-ASM-P	SustaNtivo, Acusativo, Singular, Masculino, Persona
000125	G2496	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
000126	G1161	CONJ	CONJunción o partícula cunjuntiva
000127	G1080	V-AAI-3S	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Singular
000128	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
000129	G3604	N-ASM-P	SustaNtivo, Acusativo, Singular, Masculino, Persona
000130	G3604	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
000131	G1161	CONJ	CONJunción o partícula cunjuntiva
000132	G1080	V-AAI-3S	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Singular
000133	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
000134	G2488	N-ASM-P	SustaNtivo, Acusativo, Singular, Masculino, Persona
000135	G2488	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
000136	G1161	CONJ	CONJunción o partícula cunjuntiva
000137	G1080	V-AAI-3S	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Singular
000138	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
000139	G881	N-ASM-P	SustaNtivo, Acusativo, Singular, Masculino, Persona
000140	G881	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
000141	G1161	CONJ	CONJunción o partícula cunjuntiva
000142	G1080	V-AAI-3S	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Singular
000143	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
000144	G1478	N-ASM-P	SustaNtivo, Acusativo, Singular, Masculino, Persona
000145	G1478	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
000146	G1161	CONJ	CONJunción o partícula cunjuntiva
000147	G1080	V-AAI-3S	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Singular
000148	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
000149	G3128	N-ASM-P	SustaNtivo, Acusativo, Singular, Masculino, Persona
000150	G3128	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
000151	G1161	CONJ	CONJunción o partícula cunjuntiva
000152	G1080	V-AAI-3S	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Singular
000153	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
000154	G301	N-ASM-P	SustaNtivo, Acusativo, Singular, Masculino, Persona
000155	G301	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
000156	G1161	CONJ	CONJunción o partícula cunjuntiva
000157	G1080	V-AAI-3S	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Singular
000158	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
000159	G2502	N-ASM-P	SustaNtivo, Acusativo, Singular, Masculino, Persona
000160	G2502	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
000161	G1161	CONJ	CONJunción o partícula cunjuntiva
000162	G1080	V-AAI-3S	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Singular
000163	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
000164	G2423	N-ASM-P	SustaNtivo, Acusativo, Singular, Masculino, Persona
000165	G2532	CONJ	CONJunción o partícula cunjuntiva
000166	G3588	T-APM	(T) artículo determinado, Acusativo, Plural, Masculino
000167	G80	N-APM	SustaNtivo, Acusativo, Plural, Masculino
000168	G846	P-GSM	pronombre Personal, Genitivo, Singular, Masculino
000169	G1909	PREP	PREPosición
000170	G3588	T-GSF	(T) artículo determinado, Genitivo, Singular, Femenino
000171	G3350	N-GSF	SustaNtivo, Genitivo, Singular, Femenino
000172	G897	N-GSF-L	SustaNtivo, Genitivo, Singular, Femenino, Localización
000173	G3326	PREP	PREPosición
000174	G1161	CONJ	CONJunción o partícula cunjuntiva
000175	G3588	T-ASF	(T) artículo determinado, Acusativo, Singular, Femenino
000176	G3350	N-ASF	SustaNtivo, Acusativo, Singular, Femenino
000177	G897	N-GSF-L	SustaNtivo, Genitivo, Singular, Femenino, Localización
000178	G2423	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
000179	G1080	V-AAI-3S	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Singular
000180	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
000181	G4528	N-ASM-P	SustaNtivo, Acusativo, Singular, Masculino, Persona
000182	G4528	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
000183	G1161	CONJ	CONJunción o partícula cunjuntiva
000184	G1080	V-AAI-3S	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Singular
000185	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
000186	G2216	N-ASM-P	SustaNtivo, Acusativo, Singular, Masculino, Persona
000187	G2216	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
000188	G1161	CONJ	CONJunción o partícula cunjuntiva
000189	G1080	V-AAI-3S	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Singular
000190	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
000191	G10	N-ASM-P	SustaNtivo, Acusativo, Singular, Masculino, Persona
000192	G10	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
000193	G1161	CONJ	CONJunción o partícula cunjuntiva
000194	G1080	V-AAI-3S	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Singular
000195	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
000196	G1662	N-ASM-P	SustaNtivo, Acusativo, Singular, Masculino, Persona
000197	G1662	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
000198	G1161	CONJ	CONJunción o partícula cunjuntiva
000199	G1080	V-AAI-3S	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Singular
000200	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
000201	G107	N-ASM-P	SustaNtivo, Acusativo, Singular, Masculino, Persona
000202	G107	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
000203	G1161	CONJ	CONJunción o partícula cunjuntiva
000204	G1080	V-AAI-3S	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Singular
000205	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
000206	G4524	N-ASM-P	SustaNtivo, Acusativo, Singular, Masculino, Persona
000207	G4524	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
000208	G1161	CONJ	CONJunción o partícula cunjuntiva
000209	G1080	V-AAI-3S	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Singular
000210	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
000211	G885	N-ASM-P	SustaNtivo, Acusativo, Singular, Masculino, Persona
000212	G885	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
000213	G1161	CONJ	CONJunción o partícula cunjuntiva
000214	G1080	V-AAI-3S	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Singular
000215	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
000216	G1664	N-ASM-P	SustaNtivo, Acusativo, Singular, Masculino, Persona
000217	G1664	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
000218	G1161	CONJ	CONJunción o partícula cunjuntiva
000219	G1080	V-AAI-3S	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Singular
000220	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
000221	G1648	N-ASM-P	SustaNtivo, Acusativo, Singular, Masculino, Persona
000222	G1648	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
000223	G1161	CONJ	CONJunción o partícula cunjuntiva
000224	G1080	V-AAI-3S	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Singular
000225	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
000226	G3157	N-ASM-P	SustaNtivo, Acusativo, Singular, Masculino, Persona
000227	G3157	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
000228	G1161	CONJ	CONJunción o partícula cunjuntiva
000229	G1080	V-AAI-3S	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Singular
000230	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
000231	G2384	N-ASM-P	SustaNtivo, Acusativo, Singular, Masculino, Persona
000232	G2384	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
000233	G1161	CONJ	CONJunción o partícula cunjuntiva
000234	G1080	V-AAI-3S	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Singular
000235	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
000236	G2501	N-ASM-P	SustaNtivo, Acusativo, Singular, Masculino, Persona
000237	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
000238	G435	N-ASM	SustaNtivo, Acusativo, Singular, Masculino
000239	G3137	N-GSF-P	SustaNtivo, Genitivo, Singular, Femenino, Persona
000240	G1537	PREP	PREPosición
000241	G3739	R-GSF	pronombre Relativo, Genitivo, Singular, Femenino
000242	G1080	V-API-3S	Verbo, Aoristo, Pasivo, Indicativo, (3) tercera, Singular
000243	G2424	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
000244	G3588	T-NSM	(T) artículo determinado, Nominativo, Singular, Masculino
000245	G3004	V-PPP-NSM	Verbo, Presente, Pasivo, Participio, Nominativo, Singular, Masculino
000246	G5547	N-NSM-T	SustaNtivo, Nominativo, Singular, Masculino, Título
000247	G3956	A-NPF	Adjetivo, Nominativo, Plural, Femenino
000248	G3767	CONJ	CONJunción o partícula cunjuntiva
000249	G3588	T-NPF	(T) artículo determinado, Nominativo, Plural, Femenino
000250	G1074	N-NPF	SustaNtivo, Nominativo, Plural, Femenino
000251	G575	PREP	PREPosición
000252	G11	N-GSM-P	SustaNtivo, Genitivo, Singular, Masculino, Persona
000253	G2193	PREP	PREPosición
000254	G1138	N-GSM-P	SustaNtivo, Genitivo, Singular, Masculino, Persona
000255	G1074	N-NPF	SustaNtivo, Nominativo, Plural, Femenino
000256	G1180	A-NPF	Adjetivo, Nominativo, Plural, Femenino
000257	G2532	CONJ	CONJunción o partícula cunjuntiva
000258	G575	PREP	PREPosición
000259	G1138	N-GSM-P	SustaNtivo, Genitivo, Singular, Masculino, Persona
000260	G2193	PREP	PREPosición
000261	G3588	T-GSF	(T) artículo determinado, Genitivo, Singular, Femenino
000262	G3350	N-GSF	SustaNtivo, Genitivo, Singular, Femenino
000263	G897	N-GSF-L	SustaNtivo, Genitivo, Singular, Femenino, Localización
000264	G1074	N-NPF	SustaNtivo, Nominativo, Plural, Femenino
000265	G1180	A-NPF	Adjetivo, Nominativo, Plural, Femenino
000266	G2532	CONJ	CONJunción o partícula cunjuntiva
000267	G575	PREP	PREPosición
000268	G3588	T-GSF	(T) artículo determinado, Genitivo, Singular, Femenino
000269	G3350	N-GSF	SustaNtivo, Genitivo, Singular, Femenino
000270	G897	N-GSF-L	SustaNtivo, Genitivo, Singular, Femenino, Localización
000271	G2193	PREP	PREPosición
000272	G3588	T-GSM	(T) artículo determinado, Genitivo, Singular, Masculino
000273	G5547	N-GSM-T	SustaNtivo, Genitivo, Singular, Masculino, Título
000274	G1074	N-NPF	SustaNtivo, Nominativo, Plural, Femenino
000275	G1180	A-NPF	Adjetivo, Nominativo, Plural, Femenino
000276	G3588	T-GSM	(T) artículo determinado, Genitivo, Singular, Masculino
000277	G1161	CONJ	CONJunción o partícula cunjuntiva
000278	G2424	N-GSM-P	SustaNtivo, Genitivo, Singular, Masculino, Persona
000279	G5547	N-GSM-T	SustaNtivo, Genitivo, Singular, Masculino, Título
000280	G3588	T-NSF	(T) artículo determinado, Nominativo, Singular, Femenino
000281	G1078	N-NSF	SustaNtivo, Nominativo, Singular, Femenino
000282	G3779	ADV	ADVerbio o adverbio y partícula combinados
000283	G1510	V-IAI-3S	Verbo, Imperfecto, Activa, Indicativo, (3) tercera, Singular
000284	G3423	V-APP-GSF	Verbo, Aoristo, Pasivo, Participio, Genitivo, Singular, Femenino
000285	G3588	T-GSF	(T) artículo determinado, Genitivo, Singular, Femenino
000286	G3384	N-GSF	SustaNtivo, Genitivo, Singular, Femenino
000287	G846	P-GSM	pronombre Personal, Genitivo, Singular, Masculino
000288	G3137	N-GSF-P	SustaNtivo, Genitivo, Singular, Femenino, Persona
000289	G3588	T-DSM	(T) artículo determinado, Dativo, Singular, Masculino
000290	G2501	N-DSM-P	SustaNtivo, Dativo, Singular, Masculino, Persona
000291	G4250	ADV	ADVerbio o adverbio y partícula combinados
000292	G2228	CONJ	CONJunción o partícula cunjuntiva
000293	G4905	V-2AAN	Verbo, (2A) Aoristo segundo, Activa, iNfinitivo
000294	G846	P-APM	pronombre Personal, Acusativo, Plural, Masculino
000295	G2147	V-API-3S	Verbo, Aoristo, Pasivo, Indicativo, (3) tercera, Singular
000296	G1722	PREP	PREPosición
000297	G1064	N-DSF	SustaNtivo, Dativo, Singular, Femenino
000298	G2192	V-PAP-NSF	Verbo, Presente, Activa, Participio, Nominativo, Singular, Femenino
000299	G1537	PREP	PREPosición
000300	G4151	N-GSN	SustaNtivo, Genitivo, Singular, Neutro
000301	G40	A-GSN	Adjetivo, Genitivo, Singular, Neutro
000302	G2501	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
000303	G1161	CONJ	CONJunción o partícula cunjuntiva
000304	G3588	T-NSM	(T) artículo determinado, Nominativo, Singular, Masculino
000305	G435	N-NSM	SustaNtivo, Nominativo, Singular, Masculino
000306	G846	P-GSF	pronombre Personal, Genitivo, Singular, Femenino
000307	G1342	A-NSM	Adjetivo, Nominativo, Singular, Masculino
000308	G1510	V-PAP-NSM	Verbo, Presente, Activa, Participio, Nominativo, Singular, Masculino
000309	G2532	CONJ	CONJunción o partícula cunjuntiva
000310	G3361	PRT-N	PaRTícula, Negativo
000311	G2309	V-PAP-NSM	Verbo, Presente, Activa, Participio, Nominativo, Singular, Masculino
000312	G846	P-ASF	pronombre Personal, Acusativo, Singular, Femenino
000313	G1165	V-AAN	Verbo, Aoristo, Activa, iNfinitivo
000314	G1014	V-AOI-3S	Verbo, Aoristo, depOnente pasivo, Indicativo, (3) tercera, Singular
000315	G2977	ADV	ADVerbio o adverbio y partícula combinados
000316	G630	V-AAN	Verbo, Aoristo, Activa, iNfinitivo
000317	G846	P-ASF	pronombre Personal, Acusativo, Singular, Femenino
000318	G3778	D-APN	pronombre Demostrativo, Acusativo, Plural, Neutro
000319	G1161	CONJ	CONJunción o partícula cunjuntiva
000320	G846	P-GSM	pronombre Personal, Genitivo, Singular, Masculino
000321	G1760	V-AOP-GSM	Verbo, Aoristo, depOnente pasivo, Participio, Genitivo, Singular, Masculino
000322	G2400	INJ	INterJección
000323	G32	N-NSM	SustaNtivo, Nominativo, Singular, Masculino
000324	G2962	N-GSM	SustaNtivo, Genitivo, Singular, Masculino
000325	G2596	PREP	PREPosición
000326	G3677	N-ASN	SustaNtivo, Acusativo, Singular, Neutro
000327	G5316	V-2API-3S	Verbo, (2A) Aoristo segundo, Pasivo, Indicativo, (3) tercera, Singular
000328	G846	P-DSM	pronombre Personal, Dativo, Singular, Masculino
000329	G3004	V-PAP-NSM	Verbo, Presente, Activa, Participio, Nominativo, Singular, Masculino
000330	G2501	N-VSM-P	SustaNtivo, Vocativo, Singular, Masculino, Persona
000331	G5207	N-NSM	SustaNtivo, Nominativo, Singular, Masculino
000332	G1138	N-GSM-P	SustaNtivo, Genitivo, Singular, Masculino, Persona
000333	G3361	PRT-N	PaRTícula, Negativo
000334	G5399	V-AOS-2S	Verbo, Aoristo, depOnente pasivo, Subjuntivo, (2) segunda, Singular
000335	G3880	V-2AAN	Verbo, (2A) Aoristo segundo, Activa, iNfinitivo
000336	G3137	N-ASF-P	SustaNtivo, Acusativo, Singular, Femenino, Persona
000337	G3588	T-ASF	(T) artículo determinado, Acusativo, Singular, Femenino
000338	G1135	N-ASF	SustaNtivo, Acusativo, Singular, Femenino
000339	G4771	P-2GS	pronombre Personal, (2) segunda, Genitivo, Singular
000340	G3588	T-NSN	(T) artículo determinado, Nominativo, Singular, Neutro
000341	G1063	CONJ	CONJunción o partícula cunjuntiva
000342	G1722	PREP	PREPosición
000343	G846	P-DSF	pronombre Personal, Dativo, Singular, Femenino
000344	G1080	V-APP-NSN	Verbo, Aoristo, Pasivo, Participio, Nominativo, Singular, Neutro
000345	G1537	PREP	PREPosición
000346	G4151	N-GSN	SustaNtivo, Genitivo, Singular, Neutro
000347	G1510	V-PAI-3S	Verbo, Presente, Activa, Indicativo, (3) tercera, Singular
000348	G40	A-GSN	Adjetivo, Genitivo, Singular, Neutro
000349	G5088	V-FDI-3S	Verbo, Futuro, Deponente medio, Indicativo, (3) tercera, Singular
000350	G1161	CONJ	CONJunción o partícula cunjuntiva
000351	G5207	N-ASM	SustaNtivo, Acusativo, Singular, Masculino
000352	G2532	CONJ	CONJunción o partícula cunjuntiva
000353	G2564	V-FAI-2S	Verbo, Futuro, Activa, Indicativo, (2) segunda, Singular
000354	G3588	T-ASN	(T) artículo determinado, Acusativo, Singular, Neutro
000355	G3686	N-ASN	SustaNtivo, Acusativo, Singular, Neutro
000356	G846	P-GSM	pronombre Personal, Genitivo, Singular, Masculino
000357	G2424	N-ASM-P	SustaNtivo, Acusativo, Singular, Masculino, Persona
000358	G846	P-NSM	pronombre Personal, Nominativo, Singular, Masculino
000359	G1063	CONJ	CONJunción o partícula cunjuntiva
000360	G4982	V-FAI-3S	Verbo, Futuro, Activa, Indicativo, (3) tercera, Singular
000361	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
000362	G2992	N-ASM	SustaNtivo, Acusativo, Singular, Masculino
000363	G846	P-GSM	pronombre Personal, Genitivo, Singular, Masculino
000364	G575	PREP	PREPosición
000365	G3588	T-GPF	(T) artículo determinado, Genitivo, Plural, Femenino
000366	G266	N-GPF	SustaNtivo, Genitivo, Plural, Femenino
000367	G846	P-GPM	pronombre Personal, Genitivo, Plural, Masculino
000368	G3778	D-NSN	pronombre Demostrativo, Nominativo, Singular, Neutro
000369	G1161	CONJ	CONJunción o partícula cunjuntiva
000370	G3650	A-NSN	Adjetivo, Nominativo, Singular, Neutro
