OGNTsort	extendedStrNo	RMAC	SpanishDescription
105610	G3004	V-PAI-3S	Verbo, Presente, Activa, Indicativo, (3) tercera, Singular
105611	G1453	V-PAM-2S	Verbo, Presente, Activa, IMperativo, (2) segunda, Singular
105612	G3588	T-VSM	(T) artículo determinado, Vocativo, Singular, Masculino
105613	G2518	V-PAP-VSM	Verbo, Presente, Activa, Participio, Vocativo, Singular, Masculino
105614	G2532	CONJ	CONJunción o partícula cunjuntiva
105615	G450	V-2AAM-2S	Verbo, (2A) Aoristo segundo, Activa, IMperativo, (2) segunda, Singular
105616	G1537	PREP	PREPosición
105617	G3588	T-GPM	(T) artículo determinado, Genitivo, Plural, Masculino
105618	G3498	A-GPM	Adjetivo, Genitivo, Plural, Masculino
105619	G2532	CONJ	CONJunción o partícula cunjuntiva
105620	G2017	V-FAI-3S	Verbo, Futuro, Activa, Indicativo, (3) tercera, Singular
105621	G4771	P-2DS	pronombre Personal, (2) segunda, Dativo, Singular
105622	G3588	T-NSM	(T) artículo determinado, Nominativo, Singular, Masculino
105623	G5547	N-NSM-T	SustaNtivo, Nominativo, Singular, Masculino, Título
105624	G991	V-PAM-2P	Verbo, Presente, Activa, IMperativo, (2) segunda, Plural
105625	G3767	CONJ	CONJunción o partícula cunjuntiva
105626	G199	ADV	ADVerbio o adverbio y partícula combinados
105627	G4459	ADV	ADVerbio o adverbio y partícula combinados
105628	G4043	V-PAI-2P	Verbo, Presente, Activa, Indicativo, (2) segunda, Plural
105629	G3361	PRT-N	PaRTícula, Negativo
105630	G5613	CONJ	CONJunción o partícula cunjuntiva
105631	G781	A-NPM	Adjetivo, Nominativo, Plural, Masculino
105632	G235	CONJ	CONJunción o partícula cunjuntiva
105633	G5613	CONJ	CONJunción o partícula cunjuntiva
105634	G4680	A-NPM	Adjetivo, Nominativo, Plural, Masculino
105635	G1805	V-PMP-NPM	Verbo, Presente, Media, Participio, Nominativo, Plural, Masculino
105636	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
105637	G2540	N-ASM	SustaNtivo, Acusativo, Singular, Masculino
105638	G3754	CONJ	CONJunción o partícula cunjuntiva
105639	G3588	T-NPF	(T) artículo determinado, Nominativo, Plural, Femenino
105640	G2250	N-NPF	SustaNtivo, Nominativo, Plural, Femenino
105641	G4190	A-NPF	Adjetivo, Nominativo, Plural, Femenino
105642	G1510	V-PAI-3P	Verbo, Presente, Activa, Indicativo, (3) tercera, Plural
105643	G1223	PREP	PREPosición
105644	G3778	D-ASN	pronombre Demostrativo, Acusativo, Singular, Neutro
105645	G3361	PRT-N	PaRTícula, Negativo
105646	G1096	V-PNM-2P	Verbo, Presente, depoNente medio o pasivo, IMperativo, (2) segunda, Plural
105647	G878	A-NPM	Adjetivo, Nominativo, Plural, Masculino
105648	G235	CONJ	CONJunción o partícula cunjuntiva
105649	G4920	V-PAM-2P	Verbo, Presente, Activa, IMperativo, (2) segunda, Plural
105650	G5101	I-NSN	pronombre Interrogativo, Nominativo, Singular, Neutro
105651	G3588	T-NSN	(T) artículo determinado, Nominativo, Singular, Neutro
105652	G2307	N-NSN	SustaNtivo, Nominativo, Singular, Neutro
105653	G3588	T-GSM	(T) artículo determinado, Genitivo, Singular, Masculino
105654	G2962	N-GSM	SustaNtivo, Genitivo, Singular, Masculino
105655	G2532	CONJ	CONJunción o partícula cunjuntiva
105656	G3361	PRT-N	PaRTícula, Negativo
105657	G3182	V-PPM-2P	Verbo, Presente, Pasivo, IMperativo, (2) segunda, Plural
105658	G3631	N-DSM	SustaNtivo, Dativo, Singular, Masculino
105659	G1722	PREP	PREPosición
105660	G3739	R-DSM	pronombre Relativo, Dativo, Singular, Masculino
105661	G1510	V-PAI-3S	Verbo, Presente, Activa, Indicativo, (3) tercera, Singular
105662	G810	N-NSF	SustaNtivo, Nominativo, Singular, Femenino
105663	G235	CONJ	CONJunción o partícula cunjuntiva
